dataset,label,vm_count,cluster,host_count,last_cpu_config,last_mem_config,sum_cpu_alloc,sum_cpu_config,sum_mem_alloc,sum_mem_config,last_cpu_alloc,last_mem_alloc
ovhcloud2023,oc1:0.0-oc2:0.0-oc3:1.0,500,vcluster,54,32,128,1191,1728,6784,6912,13,81
ovhcloud2023,oc1:0.0-oc2:0.0-oc3:1.0,500,oc1,0,0,0,0,0,0,0,0,0
ovhcloud2023,oc1:0.0-oc2:0.0-oc3:1.0,500,oc2,0,0,0,0,0,0,0,0,0
ovhcloud2023,oc1:0.0-oc2:0.0-oc3:1.0,500,oc3,54,32,128,1191,1728,6784,6912,13,81
ovhcloud2023,oc1:0.0-oc2:0.0-oc3:1.0,500,ocall,54,32,128,1191,1728,6784,6912,13,81
ovhcloud2023,oc1:0.0-oc2:0.25-oc3:0.75,500,vcluster,54,32,128,1320,1728,6703,6912,17,88
ovhcloud2023,oc1:0.0-oc2:0.25-oc3:0.75,500,oc1,0,0,0,0,0,0,0,0,0
ovhcloud2023,oc1:0.0-oc2:0.25-oc3:0.75,500,oc2,14,32,128,393,448,1580,1792,3,12
ovhcloud2023,oc1:0.0-oc2:0.25-oc3:0.75,500,oc3,42,32,128,923,1344,5127,5376,2,8
ovhcloud2023,oc1:0.0-oc2:0.25-oc3:0.75,500,ocall,56,32,128,1316,1792,6707,7168,5,20
ovhcloud2023,oc1:0.0-oc2:0.5-oc3:0.5,500,vcluster,54,32,128,1480,1728,6626,6912,20,106
ovhcloud2023,oc1:0.0-oc2:0.5-oc3:0.5,500,oc1,0,0,0,0,0,0,0,0,0
ovhcloud2023,oc1:0.0-oc2:0.5-oc3:0.5,500,oc2,31,32,128,897,992,3375,3968,10,55
ovhcloud2023,oc1:0.0-oc2:0.5-oc3:0.5,500,oc3,26,32,128,576,832,3249,3328,10,58
ovhcloud2023,oc1:0.0-oc2:0.5-oc3:0.5,500,ocall,57,32,128,1473,1824,6624,7296,20,113
ovhcloud2023,oc1:0.0-oc2:0.75-oc3:0.25,500,vcluster,56,32,128,1646,1792,6747,7168,32,119
ovhcloud2023,oc1:0.0-oc2:0.75-oc3:0.25,500,oc1,0,0,0,0,0,0,0,0,0
ovhcloud2023,oc1:0.0-oc2:0.75-oc3:0.25,500,oc2,45,32,128,1342,1440,5153,5760,16,64
ovhcloud2023,oc1:0.0-oc2:0.75-oc3:0.25,500,oc3,13,32,128,293,416,1587,1664,17,72
ovhcloud2023,oc1:0.0-oc2:0.75-oc3:0.25,500,ocall,58,32,128,1635,1856,6740,7424,33,136
ovhcloud2023,oc1:0.0-oc2:1.0-oc3:0.0,500,vcluster,61,32,128,1830,1952,6865,7808,16,70
ovhcloud2023,oc1:0.0-oc2:1.0-oc3:0.0,500,oc1,0,0,0,0,0,0,0,0,0
ovhcloud2023,oc1:0.0-oc2:1.0-oc3:0.0,500,oc2,61,32,128,1830,1952,6865,7808,16,70
ovhcloud2023,oc1:0.0-oc2:1.0-oc3:0.0,500,oc3,0,0,0,0,0,0,0,0,0
ovhcloud2023,oc1:0.0-oc2:1.0-oc3:0.0,500,ocall,61,32,128,1830,1952,6865,7808,16,70
ovhcloud2023,oc1:0.25-oc2:0.0-oc3:0.75,500,vcluster,64,32,128,1799,2048,7953,8192,12,47
ovhcloud2023,oc1:0.25-oc2:0.0-oc3:0.75,500,oc1,29,32,128,903,928,2847,3712,16,60
ovhcloud2023,oc1:0.25-oc2:0.0-oc3:0.75,500,oc2,0,0,0,0,0,0,0,0,0
ovhcloud2023,oc1:0.25-oc2:0.0-oc3:0.75,500,oc3,41,32,128,893,1312,5110,5248,7,40
ovhcloud2023,oc1:0.25-oc2:0.0-oc3:0.75,500,ocall,70,32,128,1796,2240,7957,8960,23,100
ovhcloud2023,oc1:0.25-oc2:0.25-oc3:0.5,500,vcluster,66,32,128,1973,2112,7983,8448,8,30
ovhcloud2023,oc1:0.25-oc2:0.25-oc3:0.5,500,oc1,28,32,128,884,896,2889,3584,26,76
ovhcloud2023,oc1:0.25-oc2:0.25-oc3:0.5,500,oc2,16,32,128,478,512,1698,2048,10,27
ovhcloud2023,oc1:0.25-oc2:0.25-oc3:0.5,500,oc3,27,32,128,592,864,3380,3456,12,81
ovhcloud2023,oc1:0.25-oc2:0.25-oc3:0.5,500,ocall,71,32,128,1954,2272,7967,9088,48,184
ovhcloud2023,oc1:0.25-oc2:0.5-oc3:0.25,500,vcluster,70,32,128,2144,2240,8115,8960,8,24
ovhcloud2023,oc1:0.25-oc2:0.5-oc3:0.25,500,oc1,31,32,128,954,992,3037,3968,0,0
ovhcloud2023,oc1:0.25-oc2:0.5-oc3:0.25,500,oc2,29,32,128,842,928,3289,3712,0,0
ovhcloud2023,oc1:0.25-oc2:0.5-oc3:0.25,500,oc3,15,32,128,330,480,1773,1920,2,8
ovhcloud2023,oc1:0.25-oc2:0.5-oc3:0.25,500,ocall,75,32,128,2126,2400,8099,9600,2,8
ovhcloud2023,oc1:0.25-oc2:0.75-oc3:0.0,500,vcluster,71,32,128,2227,2272,7768,9088,8,24
ovhcloud2023,oc1:0.25-oc2:0.75-oc3:0.0,500,oc1,28,32,128,885,896,2753,3584,28,91
